pointest,lb,ub,interval width,coverage,estimator,budget,MSE,log interval width
3.13851618606531,1.7260187342787814,4.551013637851838,2.8249949035730566,True,aipw_full,1.0,0.06935652051968234,1.0385065605518413
3.8490593882489996,1.9977037119073118,5.700415064590688,3.7027113526833766,True,adaptive-plugin,0.3,0.9484801655424592,1.309065349307339
3.2119810199734475,2.646273705562096,3.777688334384799,1.1314146288227027,True,adaptive-balance,0.3,0.11344845037387244,0.12346873368485478
5.268801088912906,1.6007798374125426,8.93682234041327,7.336042503000728,True,random,0.3,5.72951802409946,1.9927995286942948
3.33000818388361,1.8256469107125164,4.834369457054704,3.008722546342188,True,aipw_full,1.0,0.20688693908852507,1.1015155854676781
2.594841640599717,0.7443369235848023,4.445346357614632,3.70100943402983,True,adaptive-plugin,0.3,0.07857834027386984,1.3086056024496298
2.9171824477842447,2.2792438938264272,3.5551210017420622,1.275877107915635,True,adaptive-balance,0.3,0.001765892465413021,0.24363386987350835
2.5000453135891325,-1.2171370481865669,6.217227675364832,7.434364723551399,True,random,0.3,0.1407109712988328,2.0061131322200616
3.3095264761401255,1.9246247492117894,4.694428203068462,2.7698034538566727,True,aipw_full,1.0,0.1886743012068683,1.018776362395402
3.2409994870275503,2.1044699253661547,4.377529048688945,2.27305912332279,True,adaptive-plugin,0.3,0.13383858552983405,0.8211265556728131
3.2435424815993787,2.5915556742859254,3.895529288912832,1.3039736146269068,True,adaptive-balance,0.3,0.1357057083946972,0.2654162291179274
5.51366366919165,2.3373184422779203,8.690008896105379,6.352690453827458,True,random,0.3,6.961702010892386,1.8488784166879828
3.4241138634637673,2.017204890454863,4.8310228364726715,2.8138179460178083,True,aipw_full,1.0,0.30135042713307303,1.0345422607989812
2.5978897789414344,0.6641657395705842,4.531613818312285,3.8674480787417007,True,adaptive-plugin,0.3,0.0768787336033007,1.3525948783566615
2.796531775608126,2.2382346310372565,3.3548289201789956,1.116594289141739,True,adaptive-balance,0.3,0.006182385793974944,0.11028323937427252
5.076251488242318,1.596590252335107,8.555912724149529,6.959322471814422,True,random,0.3,4.844804072094832,1.9400821236042236
3.285575693505158,1.9035666270247946,4.667584759985521,2.764018132960727,True,aipw_full,1.0,0.16844110346995395,1.016685466289377
3.8273535872389557,1.5478345065532073,6.106872667924704,4.559038161371497,True,adaptive-plugin,0.3,0.9066727714109422,1.5171116717537394
3.107999394371004,2.569745456712924,3.6462533320290835,1.0765078753161594,True,adaptive-balance,0.3,0.054214218742211176,0.0737223534631102
3.1074741768237777,-0.302767515612957,6.517715869260512,6.820483384873469,True,random,0.3,0.05396991184512896,1.9199303468911055
3.2805882519584593,1.8700222417066987,4.69115426221022,2.821132020503521,True,aipw_full,1.0,0.16437212872735688,1.037138230110746
4.285847528639165,1.986382590837371,6.585312466440959,4.598929875603588,True,adaptive-plugin,0.3,1.9900395165470306,1.525823640692808
3.6618944142202867,3.0813735911749323,4.242415237265641,1.161041646090709,False,adaptive-balance,0.3,0.6189511573573416,0.14931757295157344
5.046556445812417,0.010801605632223321,10.08231128599261,10.071509680360386,True,random,0.3,4.714962852883315,2.3097106140995978
3.390011971640588,1.9787573141609898,4.801266629120186,2.8225093149591967,True,aipw_full,1.0,0.26507263047227525,1.0376263172874995
2.929643931182637,1.1247294056226118,4.734558456742663,3.6098290511200517,True,adaptive-plugin,0.3,0.0029685069870954888,1.2836604169631676
3.2472369251898847,2.7079650616372666,3.786508788742503,1.0785437271052363,True,adaptive-balance,0.3,0.13844129446219738,0.07561173039720497
4.886542282425494,2.2177653727313045,7.555319192119684,5.337553819388379,True,random,0.3,4.045658989881047,1.6747674617616832
3.4134869807117285,1.9482114343672738,4.878762527056184,2.9305510926889102,True,aipw_full,1.0,0.28979601947825695,1.0751904915849253
2.363636766845377,0.780394311979375,3.946879221711379,3.166484909732004,True,adaptive-plugin,0.3,0.2616559407897124,1.152622111364383
3.3900298560378417,2.7625731991367606,4.017486512938923,1.254913313802163,True,adaptive-balance,0.3,0.2650910464292039,0.2270664975305215
5.138685486399319,1.8064259550653516,8.470945017733285,6.664519062667933,True,random,0.3,5.123547969492183,1.8967977923876422
3.293938220565808,1.7877499955118443,4.800126445619772,3.0123764501079275,True,aipw_full,1.0,0.17537526127808586,1.1027292855634352
3.7974358408229545,1.7750404247895748,5.819831256856334,4.044790832066759,True,adaptive-plugin,0.3,0.8505928658784659,1.3974298389303588
2.999810940228226,2.3760130854672417,3.6236087949892104,1.2475957095219687,True,adaptive-balance,0.3,0.015537875728717397,0.22121826676032108
2.992047931441183,-0.32954865386438437,6.31364451674675,6.643193170611134,True,random,0.3,0.013662806172907575,1.8935927470818097
